family,param,value,xi,N,n_points,spacing,n_seeds,I_max,floor_fraction,diameter,stress_flat,distortion_flat,stress_hyp,distortion_hyp,curvature_radius,hyperbolic_advantage,delta,delta_rel,slope_log,intercept_log,r2_log,slope_lin,intercept_lin,r2_lin,scatter,n_pairs,xi_over_L
massive_boson,m,0.005,200.0002083329644,400,24,2,1,0.41341061447567107,0.0,2.2967245939767884,0.08414524776477886,40022260141929.8,0.05099607434878548,42618556307170.6,0.4912149729508057,0.033149173415993376,0.23917077732964342,0.10413559290342174,0.7143217334760664,-0.5751176455937544,0.9942214584376233,0.05211773602137379,0.35813616240114654,0.8990927119825427,0.024114531992951126,276.0,4.347830615934009
massive_boson,m,0.01,100.00041666371531,400,24,2,1,0.35182992434104565,0.0,3.08265595468385,0.07253321970948284,254048174628495.9,0.046969731393614926,250854023877197.4,0.6518663484809589,0.025563488315867917,0.3056793134534388,0.09916102151749481,0.9407457448765756,-0.828575955939895,0.984041900214013,0.07007208676574145,0.37659519717218337,0.9274642043802135,0.030301065015543558,276.0,2.1739221013851155
massive_boson,m,0.02,50.00083330972344,400,24,2,1,0.29886645091898645,0.0,4.191784554432161,0.0607468133058349,473660155703610.9,0.04299425401596644,464475517019444.1,0.8837573730756912,0.017752559289868464,0.35086010344957685,0.08370184557281142,1.252789374952096,-1.1973324498680755,0.9688137542259693,0.09526153576786632,0.37514730493031456,0.9516063240418198,0.03196000036693371,276.0,1.0869746371679008
massive_boson,m,0.04,25.001666477816602,400,24,2,1,0.2427266914232753,0.0,6.125754345056841,0.04780097397395102,109702605383084.72,0.03866640565529364,111799602411329.94,1.3414734898617349,0.009134568318657381,0.4739355458884291,0.07736770350101779,1.7891651416861094,-1.8570482376109938,0.946694890799779,0.13913676688642296,0.33719016902066806,0.9725926446032634,0.017548137225144346,276.0,0.543514488648187
massive_boson,m,0.07,14.288629940691488,400,24,2,1,0.19419700142027096,0.0,8.87874510134615,0.03837694778899983,72134334591849.02,0.03531690945717217,72597244705522.77,2.2220984779656625,0.0030600383318276636,0.5110764238592216,0.05756178581832863,2.5453693092306167,-2.813967022957058,0.9247811256960714,0.20158158548168534,0.24705595041207415,0.9853194443819363,0.024440826791265788,276.0,0.31062239001503233
massive_boson,m,0.1,10.004163719064366,400,24,2,1,0.16224704093953923,0.0,11.57288272603012,0.034383586624429384,830712443913489.5,0.033646515721426525,821252648835035.4,3.7046677955466616,0.0007370709030028594,0.5409211251458839,0.046740396317092696,3.2828742564502194,-3.7609612979876603,0.9105134918174315,0.26275999468322386,0.1407841205887918,0.9909103547704146,0.028377869778637706,276.0,0.21748181997966012
massive_boson,m,0.15,6.6729067344269675,400,24,2,1,0.1258457498779575,0.0,16.009423698157796,0.032716891009868354,161239695106016.12,0.03271695444347581,161236807850250.72,94.67302010212451,-6.343360745703075e-08,0.6990115001911885,0.04366250237175144,4.495819991456612,-5.331663799651583,0.8954760360308462,0.36361864626643975,-0.05122981572466611,0.9950992985796847,0.02195756028358102,276.0,0.14506318987884712
massive_boson,m,0.2,5.008309842822306,400,24,2,1,0.10072574740720275,0.0,20.410197581829053,0.033245156474533175,287035824257228.75,0.03324525817429644,287040113789328.25,303.93802326573933,-1.016997632635741e-07,0.7941476631941722,0.038909356953074875,5.69830936070579,-6.896591359597085,0.886118184742557,0.4637379053506835,-0.2515218749288449,0.996971591966171,0.0179917683325983,276.0,0.1088763009309197
massive_boson,m,0.3,3.3457545545166423,400,24,2,1,0.06790120960102863,0.036231884057971016,24.941319685800526,0.04388681392017298,106288902284490.39,0.04388691094449313,106292990948536.56,1324.8742825508552,-9.702432014757623e-08,2.5736231554998223,0.10318712834449675,7.975314655744294,-9.799941882678102,0.8845255671215948,0.6488231839376324,-0.49586151982715293,0.9945015083668269,0.01559390313585268,276.0,0.07273379466340527
massive_boson,m,0.5,2.02047581265676,400,24,2,1,0.03432110252694753,0.2391304347826087,24.259026235961237,0.07831531776546047,742119790384314.9,0.07831536444112241,742116806781217.0,7260.89992429748,-4.667566194660466e-08,8.269913627650737,0.34090047750521557,9.790478142065894,-10.655663952060742,0.9358625238337475,0.7291308696602423,1.8887205523541024,0.8817657230908246,0.02741642419117025,276.0,0.04392338723166869
massive_boson,m,0.7,1.45678496175684,400,24,2,1,0.018817567590683704,0.43478260869565216,23.658056716772116,0.08867100989973171,155630754868043.62,0.08853148431480147,157568259437392.78,36.31974013941559,0.00013952558493024458,8.494121070338874,0.35903714206235127,9.72220371085747,-8.668215315169757,0.933386728948104,0.6665731777098857,4.746574546066065,0.7453595933764366,0.021221515224772943,276.0,0.03166923829906174
massive_boson,m,1.0,1.0390434606175136,400,24,2,1,0.008489286824176517,0.5543478260869565,22.862070831877535,0.1321166162800285,264823827638854.7,0.1097989147201155,288336132767628.94,8.952244830612882,0.022317701559912986,7.21556071190021,0.3156127353887494,8.901400581640935,-5.407879756439381,0.8915938216066022,0.5604600425434795,7.704979375540573,0.6004511196294987,0.02660912101069163,276.0,0.022587901317772035
massive_boson,m,1.5,0.7213475204444817,400,24,2,1,0.0028109711826860007,0.6884057971014492,21.756795877194637,0.193955588907497,48638343942873.15,0.13206112911565196,56643517184698.38,5.792953699947858,0.06189445979184505,7.944284770803193,0.36514038260249304,7.577360512123715,-1.5108861674321798,0.8048867452198122,0.4375040445025946,10.311337088593977,0.4558280097348124,0.026383886506369556,276.0,0.015681467835749602
massive_boson,m,2.0,0.5672963285532555,400,24,2,1,0.0011515576151036044,0.7608695652173914,20.864381310800585,0.23177983731525476,40712699388422.88,0.1460240071696348,53309413991507.18,4.716303876200176,0.08575583014561997,6.775712697790684,0.3247502332735451,6.607362397776938,0.9052058082783243,0.73012966279496,0.36188452516924513,11.540925766036061,0.3720675131319596,0.02595922932831224,276.0,0.012332528881592511
massive_boson,m,3.0,0.41849296393249,400,24,2,1,0.0002929013295315565,0.8369565217391305,19.495346350987237,0.2752024165729537,3298421267794.4043,0.16472728035933235,4190111388026.6943,3.7317537879761877,0.11047513621362134,9.730414338056356,0.49911472014261554,5.35570579739686,3.585307298845406,0.6167957020524055,0.2753351463960097,12.5062023188683,0.27692949166915914,0.022393805870256855,276.0,0.009097673128967174
