lam,d,proxyEN_8+8,proxyEN_8+8_2chi,proxyMI_8+8,proxyMI_8+8_2chi
0.0,0,0.3540272935854309,0.35402729882784795,0.2709110052081797,0.27091100523748984
0.0,1,0.059688002285878006,0.05968799735317192,0.05896036019319406,0.05896036020639589
0.0,2,0.004375405836354159,0.004375406447771871,0.01508575109159338,0.01508575110961241
0.0,3,0.0010381330933674838,0.001038123790969454,0.004637871299374541,0.004637871338462163
0.0,4,0.00043975209465255106,0.00043974893034185076,0.0015024503158728164,0.001502450364112451
0.0,5,0.00019903806673657117,0.00019903122919059563,0.0005008451846191253,0.000500845194469246
0.0,6,8.398388150020048e-05,8.398016638709287e-05,0.00017009320883354384,0.00017009323200534165
0.0,7,2.585718304092169e-05,2.5855778200453875e-05,5.85412946577657e-05,5.8541328122663217e-05
0.0,8,2.9821668092358095e-06,2.9897789682099194e-06,2.0349824118248705e-05,2.034981950449488e-05
0.0,9,7.472313571787316e-07,7.551013177818536e-07,7.129110235926106e-06,7.129093034685674e-06
0.0,10,3.127643090682235e-07,3.1950813657688925e-07,2.5127049875228735e-06,2.5126953353549197e-06
0.0,11,1.4557489185668127e-07,1.510583396997425e-07,8.902699633051014e-07,8.902726609250067e-07
0.0,12,6.570737547885254e-08,6.995276636144373e-08,3.167424967864818e-07,3.167539170956246e-07
0.0,13,2.7799532063049163e-08,3.1767563307131705e-08,1.1328424487366817e-07,1.1329948435001569e-07
0.0,14,5.382482030133394e-09,8.31157301996108e-09,4.067587022760222e-08,4.068996939388114e-08
0.25,0,0.3317584019522661,0.3317584024792514,0.24528937132072504,0.2452893713309843
0.25,1,0.052635896933939504,0.05263589713210066,0.05085211125133954,0.05085211125450256
0.25,2,0.0028987974462899285,0.002898797528109393,0.011812150283355527,0.011812150288744605
0.25,3,0.0006514769279325467,0.0006514764000697399,0.0032977474121921313,0.003297747419550634
0.25,4,0.0002341790661259647,0.00023417950618252284,0.0009664314423256659,0.0009664314533322504
0.25,5,7.102370090421797e-05,7.10212651286208e-05,0.0002905722800819466,0.0002905722763968388
0.25,6,0.0,0.0,8.881763477414095e-05,8.881764093682243e-05
0.25,7,0.0,0.0,2.7470833974085895e-05,2.7470842414833996e-05
0.25,8,0.0,0.0,8.573169571368666e-06,8.573165556746698e-06
0.25,9,0.0,0.0,2.694618001286564e-06,2.6946129375593486e-06
0.25,10,0.0,0.0,8.518397081047624e-07,8.518385954392471e-07
0.25,11,0.0,0.0,2.7059169749321654e-07,2.7059389240413623e-07
0.25,12,0.0,0.0,8.63040098275647e-08,8.630772468931625e-08
0.25,13,0.0,0.0,2.7621485931828005e-08,2.7625345677684265e-08
0.25,14,0.0,0.0,8.866472278601378e-09,8.869407985834243e-09
0.5,0,0.3142950176388333,0.314295017792474,0.22555135689479905,0.22555135689985953
0.5,1,0.04732822950869757,0.047328229576385654,0.04490541156013156,0.04490541156116867
0.5,2,0.0019656620989117945,0.001965662105010346,0.009635436735679348,0.009635436737548908
0.5,3,0.0003573994719374318,0.0003573992264223554,0.002479703568918412,0.0024797035710609205
0.5,4,5.884185379593156e-05,5.884307462670452e-05,0.0006677190066325389,0.0006677190101547215
0.5,5,0.0,0.0,0.00018408389578883355,0.00018408389334029218
