# _source: notebook.py::s2d_families
family,scale,wall_ratio,N,t_max,n_support,e_min,bound,ratio,gap_rel
gaussian,4,12,433,18,35,-0.0116232893696,-0.0117539496572,0.988883712164,1.81952618127e-05
gaussian,6,12,649,27,51,-0.00779498483317,-0.00783596643816,0.994770063742,5.15359440761e-05
gaussian,8,12,865,36,67,-0.0058585289757,-0.00587697482862,0.996861335388,0.000107108537212
gaussian,10,12,1081,45,83,-0.00469140542074,-0.0047015798629,0.997835952498,0.000187952793656
gaussian,13,12,1405,58.5,107,-0.00361134262744,-0.00361659989454,0.998546350924,0.000362093161165
gaussian,16,12,1729,72,129,-0.00293525210209,-0.00293848741431,0.998898987211,0.000605446125651
gaussian,8,6,433,36,67,-0.00585114894784,-0.00587697482862,0.995605582543,0.000107158511412
gaussian,8,9,649,36,67,-0.00585661052469,-0.00587697482862,0.996534900262,0.000107095852243
gaussian,8,18,1297,36,67,-0.0058599025821,-0.00587697482862,0.997095062167,0.000107029592647
cos2,8,12,193,8,23,-0.0159193508038,-0.0163624617374,0.972919054558,8.94614737532e-06
cos2,12,12,289,12,31,-0.0107703268041,-0.010908307825,0.987350831759,2.08811235669e-05
cos2,16,12,385,16,39,-0.00811906592678,-0.00818123086872,0.992401517212,4.5188316063e-05
cos2,24,12,577,24,53,-0.00543196515023,-0.00545415391248,0.995931768225,0.000122462540434
cos2,32,12,769,32,69,-0.00407898221614,-0.00409061543436,0.997156120294,0.000250639884812
cos2,40,12,961,40,85,-0.00326501866317,-0.00327249234749,0.997716210301,0.000438563752508
cos2,16,6,193,16,39,-0.0080878685897,-0.00818123086872,0.988588235619,4.53722655451e-05
cos2,16,9,289,16,39,-0.00811093031011,-0.00818123086872,0.991407092681,4.52166229816e-05
cos2,16,18,577,16,39,-0.00812490680477,-0.00818123086872,0.993115453548,4.51766914122e-05
bump4,8,12,193,8,23,-0.0156519919988,-0.016168121203,0.968077354337,9.42274095684e-06
bump4,12,12,289,12,31,-0.0106142201187,-0.0107787474687,0.984735949107,2.34898883207e-05
bump4,16,12,385,16,39,-0.00800973680401,-0.00808406060149,0.990806130589,4.84234414019e-05
bump4,24,12,577,24,55,-0.00536335350103,-0.00538937373433,0.995171937486,0.000132185142867
bump4,32,12,769,32,71,-0.00402863142451,-0.00404203030075,0.996685112371,0.000270874589042
bump4,40,12,961,40,85,-0.00322503428237,-0.0032336242406,0.997343550893,0.000472781339803
bump4,16,6,193,16,39,-0.0079759319376,-0.00808406060149,0.98662446149,4.87039712705e-05
bump4,16,9,289,16,39,-0.00800092118441,-0.00808406060149,0.989715636586,4.85098112142e-05
bump4,16,18,577,16,39,-0.00801606590513,-0.00808406060149,0.991589041731,4.84632364598e-05
sech,2,12,673,28,39,-0.0170621343534,-0.0176838825658,0.964840966905,7.84895413944e-06
sech,3,12,1009,42,57,-0.0115979491006,-0.0117892550438,0.983772855659,2.24411805598e-05
sech,4,12,1345,56,75,-0.00875991651014,-0.00884194128288,0.990723216755,4.69807066367e-05
sech,5,12,1681,70,93,-0.00703113195982,-0.00707355302631,0.994002863012,8.29341657617e-05
sech,6,12,2017,84,111,-0.00586988024106,-0.00589462752192,0.995801722709,0.000131468788976
sech,8,12,2689,112,147,-0.00441037336317,-0.00442097064144,0.997602952127,0.000271310163114
sech,4,6,673,56,75,-0.00875818865251,-0.00884194128288,0.990527800661,4.69933896261e-05
sech,4,9,1009,56,75,-0.00875946768826,-0.00884194128288,0.990672456197,4.69835640975e-05
sech,4,18,2017,56,75,-0.0087602377546,-0.00884194128288,0.990759548648,4.69814217022e-05
