# _source: notebook.py::s4d_scan
n_ball,tau,N,rho,x,e_min_total,l_stop,converged,tail_frac,C_shell,C_naive,ratio_shell_FE,ratio_naive_FE,V_shell,V_naive,fpp2,sum_e_dropped,max_residual,max_z_norm,n_sectors_regularized,seconds,rho_nominal,box_ratio,ratio_shell_FE_raw,ratio_naive_FE_raw,box_correction
2,5,90,0.5,0.2,-0.00172567788123,9,True,2.95420547407e-13,0.00249927035811,0.00484233631884,0.394764552385,0.764856320245,64.9262481742,33.5103216383,0.0106347231054,-1.43663694064e-12,9.89710922947e-19,0.813802661336,1,0.1090259552,0.5,18,0.394668955615,0.764671101504,9.55967697003e-05
3,7,123,0.5,0.142857142857,-0.00174893943498,9,True,7.73530736054e-15,0.00252004306352,0.00399006818391,0.398054519851,0.630252989764,179.070781255,113.097335529,0.00387562795388,-1.90063714496e-12,5.94842032194e-17,0.875502190192,0,0.160077095032,0.5,17.5714285714,0.397949249771,0.630086312138,0.000105270079773
4,9,156,0.5,0.111111111111,-0.00175819511118,9,True,4.04181779521e-15,0.00252946337264,0.00359658073297,0.399548019783,0.568107340629,381.179908636,268.082573106,0.00182351219229,-3.39124627634e-12,5.41369223041e-18,0.999972871285,0,0.323183774948,0.5,17.3333333333,0.39943684536,0.567949264497,0.000111174422478
5,11,189,0.5,0.0909090909091,-0.00176277107761,9,True,8.26664706112e-16,0.00253447206472,0.00337084784608,0.400342934407,0.532456102761,696.386371546,523.598775598,0.000998753109075,-3.57552958272e-12,4.00592353101e-17,0.999919553542,0,0.526475906372,0.5,17.1818181818,0.400227786311,0.532302955793,0.000115148096127
6,13,222,0.5,0.0769230769231,-0.00176535748505,9,True,4.9540012965e-15,0.00253743871828,0.00322466170448,0.400814264925,0.509368128342,1149.82291121,904.778684234,0.000605070727437,-3.8270031691e-12,4.98624862807e-17,0.820255268069,1,0.678406000137,0.5,17.0769230769,0.400696261463,0.509218165609,0.000118003462078
8,17,288,0.5,0.0588235294118,-0.00176801730062,9,True,6.19557355265e-15,0.00254062223346,0.00304676181903,0.401320813356,0.481271444142,2571.91718574,2144.66058485,0.000270576101807,-5.83390780578e-12,1.75267909111e-18,0.807173893694,0,1.26996088028,0.5,16.9411764706,0.40119898203,0.481125341731,0.000121831326327
2,6.25,110,0.4,0.16,-0.000924219957019,8,True,2.43056573657e-14,0.00261432085263,0.00506524665197,0.412941589658,0.800074329963,64.9262481742,33.5103216383,0.00544497822998,-1.96202529642e-12,1.10428326149e-15,0.977279446364,2,0.0950243473053,0.4,17.6,0.412837001488,0.799871690382,0.000104588170568
3,8.75,151,0.4,0.114285714286,-0.000936617448152,8,True,1.29776667308e-14,0.00263587902923,0.00417347512961,0.41635448309,0.659227931559,179.070781255,113.097335529,0.00198432151238,-2.47607216512e-12,6.8886839641e-17,0.973676421695,2,0.252552270889,0.4,17.2571428571,0.416241332282,0.659048776112,0.000113150808286
4,11.25,192,0.4,0.0888888888889,-0.000941566939195,8,True,8.32741012607e-15,0.0026457119986,0.00376187174801,0.417912379947,0.594219165237,381.179908636,268.082573106,0.000933638242452,-2.85620791985e-12,6.45887898112e-16,0.799750417915,1,0.456987142563,0.4,17.0666666667,0.417794092567,0.594050975368,0.000118287380054
5,13.75,233,0.4,0.0727272727273,-0.000944019033953,8,True,1.51769532434e-14,0.0026509551634,0.00352577036732,0.418743768306,0.556929211847,696.386371546,523.598775598,0.000511361591847,-3.26247858993e-12,2.0260993072e-17,0.812531739896,0,0.841063976288,0.4,16.9454545455,0.418622059964,0.556767339752,0.000121708342032
6,16.25,274,0.4,0.0615384615385,-0.000945407195232,8,True,1.7316368548e-14,0.00265406675112,0.00337287649622,0.419237571552,0.532781080513,1149.82291121,904.778684234,0.000309796212448,-3.87698308624e-12,1.30689048113e-17,0.998528109141,0,1.06395101547,0.4,16.8615384615,0.419113422202,0.532623307382,0.000124149349322
