# _source: notebook.py::s5_audit_battery
state,constant,e_f,bound,margin,nu_margin,passed
vacuum,sharp,0,-0.00587697482862,0.00587697482862,-8.27116153346e-15,True
vacuum,fewster_eveson,0,-0.00881546224293,0.00881546224293,-8.27116153346e-15,True
extremal,sharp,-0.00585749069808,-0.00587697482862,1.94841305388e-05,-6.66657118398e-10,True
extremal,fewster_eveson,-0.00585749069808,-0.00881546224293,0.00295797154485,-6.66657118398e-10,True
mix_0.5,sharp,-0.00292874534904,-0.00587697482862,0.00294822947958,-3.10531600434e-10,True
mix_0.5,fewster_eveson,-0.00292874534904,-0.00881546224293,0.00588671689389,-3.10531600434e-10,True
squeeze_site_r2,sharp,58.9638682605,-0.00587697482862,58.9697452353,-1.77080572428e-14,True
squeeze_site_r2,fewster_eveson,58.9638682605,-0.00881546224293,58.9726837227,-1.77080572428e-14,True
squeeze_band,sharp,7.27694548666,-0.00587697482862,7.28282246149,-1.16018306073e-14,True
squeeze_band,fewster_eveson,7.27694548666,-0.00881546224293,7.2857609489,-1.16018306073e-14,True
random_0,sharp,6.28164170956,-0.00587697482862,6.28751868439,-9.49240686055e-15,True
random_0,fewster_eveson,6.28164170956,-0.00881546224293,6.2904571718,-9.49240686055e-15,True
random_1,sharp,0.359862162424,-0.00587697482862,0.365739137253,-8.32667268469e-15,True
random_1,fewster_eveson,0.359862162424,-0.00881546224293,0.368677624667,-8.32667268469e-15,True
random_2,sharp,1.34180855592,-0.00587697482862,1.34768553075,-1.36002320517e-14,True
random_2,fewster_eveson,1.34180855592,-0.00881546224293,1.35062401816,-1.36002320517e-14,True
random_3,sharp,0.459254513664,-0.00587697482862,0.465131488492,-7.43849426499e-15,True
random_3,fewster_eveson,0.459254513664,-0.00881546224293,0.468069975907,-7.43849426499e-15,True
