k_over_h rate_closed_form
2.000000000000000389e-02 1.998201798040833191e-04
2.042009296526950748e-02 2.082946954888276973e-04
2.084900983551245951e-02 2.171282700590785599e-04
2.128693595374914899e-02 2.263360861473982116e-04
2.173406055606477358e-02 2.359339657431832238e-04
2.219057685338198666e-02 2.459383968878152177e-04
2.265668211495089346e-02 2.563665614663675446e-04
2.313257775359280760e-02 2.672363641353127915e-04
2.361846941273453016e-02 2.785664624350491316e-04
2.411456705527066993e-02 2.903762981305881550e-04
2.462108505429261990e-02 3.026861298292058528e-04
2.513824228572314468e-02 3.155170669246968175e-04
2.566626222289677961e-02 3.288911049218761385e-04
2.620537303312686292e-02 3.428311621879162390e-04
2.675580767630085510e-02 3.573611181950118792e-04
2.731780400554674471e-02 3.725058533014844017e-04
2.789160487001381139e-02 3.882912901371496838e-04
2.847745821981230094e-02 4.047444366497629097e-04
2.907561721315727113e-02 4.218934308751117477e-04
2.968634032576308868e-02 4.397675874978320461e-04
3.030989146253556393e-02 4.583974462657340381e-04
3.094654007161023665e-02 4.778148223293636368e-04
3.159656126078597138e-02 4.980528585735597086e-04
3.226023591640413135e-02 5.191460800187245629e-04
3.293785082472493186e-02 5.411304503597001801e-04
3.362969879585309824e-02 5.640434307262679869e-04
3.433607879026662896e-02 5.879240407370929294e-04
3.505729604800315174e-02 6.128129219315979178e-04
3.579366222055998387e-02 6.387524036630808522e-04
3.654549550556449034e-02 6.657865715347468551e-04
3.731312078427329038e-02 6.939613384677805960e-04
3.809686976195953562e-02 7.233245184882719720e-04
3.889708111124892675e-02 7.539259033259471544e-04
3.971410061846657874e-02 7.858173419129499534e-04
4.054828133305773269e-02 8.190528228811680628e-04
4.139998372014705441e-02 8.536885601477905809e-04
4.226957581630236965e-02 8.897830816914466864e-04
4.315743338857010170e-02 9.273973216133577424e-04
4.406394009685138391e-02 9.665947155830877753e-04
4.498948765968859009e-02 1.007441299769568088e-03
4.593447602353430831e-02 1.050005813358271698e-03
