k_over_h W_arrow_over_E_A
2.000000000000000042e-02 1.998201798038330040e-04
2.244369563014422461e-02 2.515746457716924278e-04
2.309563969378916615e-02 2.663846223667357192e-04
2.518597367692774688e-02 3.167146756227548487e-04
2.591757538354406976e-02 3.353535979468917475e-04
2.667042864326648471e-02 3.550876822853979626e-04
2.826331636768953520e-02 3.986910878738237317e-04
2.908430866897907668e-02 4.221452193250479958e-04
2.992914913974766694e-02 4.469763285555118692e-04
3.079853052118984580e-02 4.732649208985977084e-04
3.171666350274486568e-02 5.018378070648506998e-04
3.263796856898656951e-02 5.313453148631309183e-04
3.358603568808447154e-02 5.625834338128384796e-04
3.456164224366460591e-02 5.956531321544672984e-04
3.556558820077845851e-02 6.306612045852725765e-04
3.559195710296549076e-02 6.315940588774923703e-04
3.662583162742742704e-02 6.687081068915119806e-04
3.768973812032647142e-02 7.079961104283345697e-04
3.878454894973715900e-02 7.495845680682445417e-04
3.991116182426602405e-02 7.936072375897440957e-04
3.994075260500536129e-02 7.947802532966996179e-04
4.107050052914292676e-02 8.402055402743025198e-04
4.110095086234454714e-02 8.414471707352134521e-04
4.229485053762257335e-02 8.908432126161938518e-04
4.352343058901653183e-02 9.431266522721921735e-04
4.478769841146292008e-02 9.984647817848433648e-04
4.482090473528151792e-02 9.999392285804855219e-04
4.608869066268805881e-02 1.057034406563109232e-03
4.612286156319874569e-02 1.058594930912856507e-03
4.742747411323310763e-02 1.119022364698696488e-03
4.746263760944213761e-02 1.120673940597167843e-03
4.884133144597978954e-02 1.186373954748523411e-03
5.026007355607838012e-02 1.255903835164072068e-03
5.029733718731741604e-02 1.257756289241125473e-03
5.172002726126204153e-02 1.329484208422665329e-03
5.175837332578553385e-02 1.331444541039278036e-03
5.322238967519741376e-02 1.407348094544366582e-03
5.326184961550777669e-02 1.409422507379784256e-03
5.476839268528723575e-02 1.489741565114753976e-03
5.480899885722811254e-02 1.491936606671529766e-03
5.640108966206418273e-02 1.579247015566257904e-03
5.644290634194433498e-02 1.581572995789657168e-03
5.803942749172634474e-02 1.671628389363734486e-03
5.808245886176530148e-02 1.674089403681608239e-03
5.972535572895305844e-02 1.769370614341631313e-03
5.976963707344853244e-02 1.771974375113611775e-03
6.146025677904019824e-02 1.872779592678367952e-03
6.150582440722752314e-02 1.875534237527952484e-03
6.324555320336759656e-02 1.982178060583468168e-03
6.329244447919211980e-02 1.985092174013485845e-03
6.333937052096677567e-02 1.988010533129502041e-03
6.513096225860655342e-02 2.100989075985418633e-03
6.517925140719169064e-02 2.104076198347137189e-03
6.702288526913564859e-02 2.223584429896831478e-03
6.707257712003314443e-02 2.226849875220717010e-03
6.896976482496432193e-02 2.353257238182114314e-03
6.902090012384551332e-02 2.356711083854596926e-03
7.097319730282376782e-02 2.490406974442283504e-03
7.102581797893951776e-02 2.494059840695523906e-03
7.107847766887540053e-02 2.497718004278557877e-03
7.303482545096755263e-02 2.635454572675039082e-03
7.308897465152881801e-02 2.639317648642038484e-03
7.314316399918298350e-02 2.643186319341041084e-03
7.521206186172788022e-02 2.792928520743100627e-03
7.526782530056998211e-02 2.797019499292824080e-03
7.739682047070631232e-02 2.955360036770601946e-03
7.745420372490861849e-02 2.959685748201528604e-03
7.964504190813748163e-02 3.127104431613618018e-03
7.970409203006718901e-02 3.131677953836647498e-03
7.976318593271213009e-02 3.136258069874363948e-03
8.195856964111132570e-02 3.308679714099942940e-03
8.201933504991197610e-02 3.313514807252975446e-03
8.208014551116928070e-02 3.318356859702676406e-03
8.433930068571646177e-02 3.500630814432749774e-03
8.440183120700994746e-02 3.505741950940058187e-03
8.446440808944305489e-02 3.510860431067703430e-03
8.685353406927243114e-02 3.708933153246030210e-03
8.691792868385161963e-02 3.714343296113642879e-03
8.937645395181592622e-02 3.923691506281825475e-03
8.944271909999158832e-02 3.929409322037327387e-03
8.950903337821962402e-02 3.935135321071916645e-03
9.197265956535406739e-02 4.150650643930802429e-03
9.204084958235221603e-02 4.156692949564329102e-03
9.210909015653159782e-02 4.162743884754137140e-03
9.464427971247171834e-02 4.390475975941442698e-03
9.471445051184698705e-02 4.396860427403352124e-03
